VehicleID,LaneNo,Frame,Timestamp
1,1,1,0.0
2,2,1,0.0
3,1,1,0.0
4,1,1,0.0
5,1,1,0.0
14,1,12,0.36666666666666664
36,2,29,0.9333333333333333
45,1,33,1.0666666666666667
46,3,38,1.2333333333333334
18,2,44,1.4333333333333333
60,1,47,1.5333333333333332
65,1,51,1.6666666666666667
78,1,64,2.1
45,2,66,2.1666666666666665
87,3,83,2.7333333333333334
100,2,96,3.1666666666666665
114,2,122,4.033333333333333
115,2,123,4.066666666666666
124,1,134,4.433333333333334
137,1,142,4.7
140,1,144,4.766666666666667
144,2,148,4.9
140,2,149,4.933333333333334
146,2,156,5.166666666666667
115,1,161,5.333333333333333
149,1,162,5.366666666666666
159,1,168,5.566666666666666
149,2,181,6.0
184,1,185,6.133333333333333
190,1,192,6.366666666666666
206,2,206,6.833333333333333
210,1,207,6.866666666666666
219,1,228,7.566666666666666
219,2,230,7.633333333333333
226,1,239,7.933333333333334
210,2,249,8.266666666666666
240,2,255,8.466666666666667
244,1,255,8.466666666666667
245,1,255,8.466666666666667
247,1,255,8.466666666666667
263,1,270,8.966666666666667
266,2,273,9.066666666666666
268,1,275,9.133333333333333
278,2,283,9.4
281,1,288,9.566666666666666
282,1,293,9.733333333333333
263,2,321,10.666666666666666
308,1,324,10.766666666666666
316,2,327,10.866666666666667
332,1,339,11.266666666666666
334,1,341,11.333333333333334
308,2,365,12.133333333333333
381,1,365,12.133333333333333
396,1,378,12.566666666666666
422,2,417,13.866666666666667
424,1,425,14.133333333333333
446,3,452,15.033333333333333
456,1,452,15.033333333333333
467,1,463,15.4
479,1,477,15.866666666666667
485,2,484,16.1
487,1,487,16.2
493,1,495,16.466666666666665
506,1,505,16.8
522,1,515,17.133333333333333
493,2,517,17.2
524,1,517,17.2
540,1,537,17.866666666666667
542,1,540,17.966666666666665
548,1,550,18.3
549,1,551,18.333333333333332
550,1,554,18.433333333333334
562,2,569,18.933333333333334
564,2,572,19.03333333333333
567,1,574,19.1
572,1,580,19.3
548,2,581,19.333333333333332
574,1,591,19.666666666666668
583,1,591,19.666666666666668
587,2,596,19.833333333333332
598,1,602,20.03333333333333
610,1,617,20.53333333333333
613,1,630,20.966666666666665
625,2,637,21.2
610,2,639,21.266666666666666
632,2,640,21.3
635,1,643,21.4
645,1,658,21.9
657,2,664,22.1
669,1,681,22.666666666666668
680,2,701,23.333333333333332
681,1,704,23.433333333333334
698,1,723,24.066666666666666
703,1,725,24.133333333333333
669,2,730,24.3
710,2,732,24.366666666666667
713,2,734,24.433333333333334
724,1,747,24.866666666666667
740,1,759,25.266666666666666
742,1,760,25.3
753,1,768,25.566666666666666
703,2,772,25.7
771,2,778,25.9
782,1,782,26.03333333333333
785,1,783,26.066666666666666
794,1,800,26.633333333333333
799,2,804,26.766666666666666
801,1,805,26.8
806,1,807,26.866666666666667
809,2,816,27.166666666666668
813,2,819,27.266666666666666
816,1,822,27.366666666666667
817,1,823,27.4
822,1,831,27.666666666666668
823,2,831,27.666666666666668
827,1,837,27.866666666666667
834,2,842,28.03333333333333
836,3,843,28.066666666666666
839,2,846,28.166666666666668
785,2,848,28.233333333333334
856,1,875,29.133333333333333
861,2,889,29.599999999999998
864,1,890,29.633333333333333
865,2,890,29.633333333333333
867,2,891,29.666666666666668
870,2,896,29.833333333333332
872,2,899,29.933333333333334
873,1,901,30.0
875,2,906,30.166666666666668
879,1,910,30.3
881,2,913,30.4
856,2,914,30.433333333333334
882,2,918,30.566666666666666
879,2,941,31.333333333333332
894,2,947,31.53333333333333
905,1,955,31.8
941,3,977,32.53333333333333
967,1,993,33.06666666666666
972,1,1000,33.3
973,2,1010,33.63333333333333
976,2,1013,33.733333333333334
987,1,1019,33.93333333333333
996,1,1032,34.36666666666667
1002,3,1038,34.56666666666666
1004,1,1039,34.6
1011,2,1045,34.8
1018,1,1054,35.1
1031,1,1067,35.53333333333333
1032,1,1067,35.53333333333333
1047,1,1083,36.06666666666666
972,2,1089,36.266666666666666
1075,1,1095,36.46666666666667
1072,1,1097,36.53333333333333
1089,1,1103,36.733333333333334
1091,1,1107,36.86666666666667
1096,1,1115,37.13333333333333
1101,1,1120,37.3
1104,1,1122,37.36666666666667
1106,2,1126,37.5
1110,1,1132,37.7
1111,2,1132,37.7
1115,2,1134,37.766666666666666
1133,2,1150,38.3
1136,1,1151,38.333333333333336
1139,2,1154,38.43333333333333
1141,1,1158,38.56666666666666
1144,1,1162,38.7
1148,2,1170,38.96666666666667
1188,1,1190,39.63333333333333
1191,3,1192,39.7
1195,2,1194,39.766666666666666
1197,1,1196,39.833333333333336
1205,2,1213,40.4
